datahora,cd_id,cd,id_franqueado,razao_social,email,tipo,qtde_raw,picklist
2026-07-01 09:00:00,1,CD Norte,F001,Franqueado Aurora,aurora@example.com,A,12,
2026-07-04 14:20:00,1,CD Norte,F001,Franqueado Aurora,aurora@example.com,M,4294967292,PK-1001
2026-07-18 10:05:00,1,CD Norte,F001,Franqueado Aurora,aurora@example.com,M,4294967294,PK-1018
2026-07-03 11:30:00,1,CD Norte,F002,Franqueado Horizonte,horizonte@example.com,A,10,
2026-07-08 16:10:00,1,CD Norte,F002,Franqueado Horizonte,horizonte@example.com,M,4294967293,PK-1008
2026-07-06 08:45:00,2,CD Sul,F003,Franqueado Prisma,prisma@example.com,A,16,
2026-07-10 13:15:00,2,CD Sul,F003,Franqueado Prisma,prisma@example.com,M,4294967290,PK-1010
2026-08-05 15:20:00,2,CD Sul,F003,Franqueado Prisma,prisma@example.com,M,4294967292,PK-1105
2026-07-07 10:40:00,2,CD Sul,F004,Franqueado Atlas,atlas@example.com,A,8,
2026-07-09 17:25:00,2,CD Sul,F004,Franqueado Atlas,atlas@example.com,M,4294967294,PK-1009
2026-07-09 09:10:00,3,CD Leste,F005,Franqueado Vértice,vertice@example.com,A,14,
2026-08-14 12:35:00,3,CD Leste,F005,Franqueado Vértice,vertice@example.com,M,4294967291,PK-1114
2026-07-10 08:00:00,3,CD Leste,F006,Franqueado Nexo,nexo@example.com,A,9,
2026-07-15 14:00:00,3,CD Leste,F006,Franqueado Nexo,nexo@example.com,M,4294967295,PK-1015
2026-07-12 11:00:00,4,CD Oeste,F007,Franqueado Solaris,solaris@example.com,A,18,
2026-08-20 09:30:00,4,CD Oeste,F007,Franqueado Solaris,solaris@example.com,M,4294967288,PK-1120
2026-07-13 16:20:00,4,CD Oeste,F008,Franqueado Delta,delta@example.com,A,7,
2026-07-20 10:50:00,4,CD Oeste,F008,Franqueado Delta,delta@example.com,M,4294967294,
